4.00000000000e+01	7.013313e-02	0.000000e+00
2.40321000000e+02	7.676243e-02	0.000000e+00
4.40641000000e+02	9.293665e-02	0.000000e+00
6.40962000000e+02	1.138267e-01	0.000000e+00
8.41283000000e+02	1.366875e-01	0.000000e+00
1.04160300000e+03	1.609225e-01	0.000000e+00
1.24192400000e+03	1.869331e-01	0.000000e+00
1.44224400000e+03	2.139517e-01	0.000000e+00
1.64256500000e+03	2.402266e-01	0.000000e+00
1.84288600000e+03	2.656310e-01	0.000000e+00
2.04320600000e+03	2.922901e-01	0.000000e+00
2.24352700000e+03	3.180824e-01	0.000000e+00
2.44384800000e+03	3.452783e-01	0.000000e+00
2.64416800000e+03	3.722729e-01	0.000000e+00
2.84448900000e+03	3.978494e-01	0.000000e+00
3.04481000000e+03	4.237886e-01	0.000000e+00
3.24513000000e+03	4.484961e-01	0.000000e+00
3.44545100000e+03	4.782610e-01	0.000000e+00
3.64577200000e+03	5.016332e-01	0.000000e+00
3.84609200000e+03	5.300253e-01	0.000000e+00
4.04641300000e+03	5.587381e-01	0.000000e+00
4.24673300000e+03	5.850965e-01	0.000000e+00
4.44705400000e+03	6.139134e-01	0.000000e+00
4.64737500000e+03	6.434261e-01	0.000000e+00
4.84769500000e+03	6.731429e-01	0.000000e+00
5.04801600000e+03	7.031561e-01	0.000000e+00
5.24833700000e+03	7.384967e-01	0.000000e+00
5.44865700000e+03	7.745466e-01	0.000000e+00
5.64897800000e+03	8.088834e-01	0.000000e+00
5.84929900000e+03	8.488080e-01	0.000000e+00
6.04961900000e+03	8.902087e-01	0.000000e+00
6.24994000000e+03	9.385217e-01	0.000000e+00
6.45026100000e+03	9.898190e-01	0.000000e+00
6.65058100000e+03	1.048184e+00	0.000000e+00
6.85090200000e+03	1.114341e+00	0.000000e+00
7.05122200000e+03	1.189840e+00	0.000000e+00
7.25154300000e+03	1.282792e+00	0.000000e+00
7.45186400000e+03	1.396048e+00	0.000000e+00
7.65218400000e+03	1.537559e+00	0.000000e+00
7.85250500000e+03	1.714737e+00	0.000000e+00
8.05282600000e+03	1.952736e+00	0.000000e+00
8.25314600000e+03	2.271127e+00	0.000000e+00
